epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1741.78,0.43598,0.47132,0.90151,0.99789,1,0.995,0.96541,0.30673,0.39202,0.74078,0.0011684,0.0011684,0.0011684
44,1781.82,0.42262,0.44823,0.88604,0.99781,1,0.995,0.95674,0.34124,0.3864,0.74988,0.0011486,0.0011486,0.0011486
45,1821.87,0.43684,0.43109,0.88336,0.99819,1,0.995,0.96421,0.34201,0.45905,0.76132,0.0011288,0.0011288,0.0011288
46,1861.8,0.43653,0.43238,0.89751,0.99796,1,0.995,0.94479,0.37516,0.51348,0.7757,0.001109,0.001109,0.001109
47,1901.72,0.46844,0.45422,0.90521,0.99788,1,0.995,0.96402,0.32709,0.40808,0.75837,0.0010892,0.0010892,0.0010892
48,1941.95,0.40622,0.42565,0.88955,0.99758,1,0.995,0.94789,0.35166,0.36883,0.74901,0.0010694,0.0010694,0.0010694
49,1981.89,0.45358,0.43674,0.88908,0.99721,1,0.995,0.9663,0.37711,0.37083,0.7513,0.0010496,0.0010496,0.0010496
50,2021.78,0.38869,0.41899,0.85874,0.99747,1,0.995,0.96091,0.36895,0.36571,0.75006,0.0010298,0.0010298,0.0010298
51,2062.17,0.45647,0.44511,0.91876,0.99804,1,0.995,0.96318,0.31382,0.324,0.74665,0.00101,0.00101,0.00101
52,2102.24,0.44966,0.44572,0.87524,0.99849,1,0.995,0.94813,0.33237,0.38749,0.75591,0.0009902,0.0009902,0.0009902
53,2142.39,0.38287,0.40481,0.84233,1,0.97031,0.99295,0.96741,0.28801,0.42022,0.75726,0.0009704,0.0009704,0.0009704
54,2182.4,0.41387,0.41878,0.8889,0.99864,1,0.995,0.96139,0.22517,0.32541,0.75056,0.0009506,0.0009506,0.0009506
55,2222.47,0.42074,0.41607,0.88789,0.99722,1,0.995,0.96722,0.25635,0.30052,0.75774,0.0009308,0.0009308,0.0009308
56,2262.55,0.40421,0.39054,0.88022,0.99762,1,0.995,0.96192,0.30519,0.31745,0.77667,0.000911,0.000911,0.000911
57,2302.64,0.38227,0.38281,0.86122,0.99768,1,0.995,0.95396,0.26758,0.26877,0.75836,0.0008912,0.0008912,0.0008912
58,2342.63,0.41889,0.40779,0.88137,0.99744,1,0.995,0.96454,0.31969,0.30611,0.75635,0.0008714,0.0008714,0.0008714
59,2382.8,0.40446,0.38029,0.88066,0.99718,1,0.995,0.97339,0.30283,0.31093,0.74651,0.0008516,0.0008516,0.0008516
60,2423.17,0.39232,0.40412,0.89463,0.99682,1,0.995,0.97864,0.27214,0.2966,0.74294,0.0008318,0.0008318,0.0008318
61,2462.93,0.40081,0.38233,0.88833,0.99716,1,0.995,0.97617,0.27126,0.29115,0.73689,0.000812,0.000812,0.000812
62,2503.05,0.38622,0.39231,0.86062,0.96075,1,0.99444,0.95983,0.27971,0.34273,0.7406,0.0007922,0.0007922,0.0007922
63,2543.63,0.3646,0.36023,0.85614,0.97907,1,0.995,0.9626,0.32234,0.59504,0.74697,0.0007724,0.0007724,0.0007724
64,2583.79,0.35582,0.356,0.84546,0.98866,1,0.995,0.97171,0.27205,0.39691,0.73634,0.0007526,0.0007526,0.0007526
65,2623.9,0.38337,0.36655,0.85983,0.99767,1,0.995,0.9738,0.31518,0.32267,0.74605,0.0007328,0.0007328,0.0007328
66,2663.45,0.34134,0.33529,0.84924,0.9975,1,0.995,0.97469,0.28309,0.28252,0.73582,0.000713,0.000713,0.000713
67,2703.32,0.3259,0.32824,0.84324,0.99728,1,0.995,0.98889,0.25864,0.27608,0.73465,0.0006932,0.0006932,0.0006932
68,2743.42,0.36212,0.34525,0.86609,0.99776,1,0.995,0.97326,0.26218,0.27505,0.7316,0.0006734,0.0006734,0.0006734
69,2783.35,0.33569,0.3464,0.8464,0.99773,1,0.995,0.97445,0.23535,0.27227,0.73204,0.0006536,0.0006536,0.0006536
70,2823.45,0.33763,0.33319,0.87095,0.99507,1,0.995,0.97734,0.22779,0.27366,0.73632,0.0006338,0.0006338,0.0006338
71,2863.44,0.34382,0.35207,0.8486,0.99539,1,0.995,0.97985,0.23716,0.2701,0.73792,0.000614,0.000614,0.000614
72,2903.76,0.35542,0.35433,0.86309,0.9964,1,0.995,0.97548,0.24766,0.25694,0.7388,0.0005942,0.0005942,0.0005942
73,2944.22,0.32099,0.33009,0.85233,0.99826,1,0.995,0.97508,0.20635,0.25909,0.7356,0.0005744,0.0005744,0.0005744
74,2984.18,0.31614,0.31707,0.84436,0.99828,1,0.995,0.963,0.23594,0.26586,0.73427,0.0005546,0.0005546,0.0005546
75,3024.54,0.28146,0.29555,0.82921,0.99835,1,0.995,0.95929,0.2418,0.29289,0.73378,0.0005348,0.0005348,0.0005348
76,3065.03,0.33905,0.3325,0.87509,0.99848,1,0.995,0.95097,0.27511,0.2975,0.73117,0.000515,0.000515,0.000515
77,3104.84,0.31885,0.30923,0.82905,0.99839,1,0.995,0.9671,0.33207,0.30794,0.73189,0.0004952,0.0004952,0.0004952
78,3144.42,0.34815,0.34353,0.85587,0.99843,1,0.995,0.97172,0.2796,0.27449,0.73244,0.0004754,0.0004754,0.0004754
79,3184.19,0.29802,0.30643,0.85052,0.99843,1,0.995,0.97352,0.23399,0.2535,0.73436,0.0004556,0.0004556,0.0004556
80,3223.89,0.30821,0.32275,0.8529,0.99858,1,0.995,0.96994,0.22405,0.22772,0.74025,0.0004358,0.0004358,0.0004358
81,3263.67,0.26989,0.29005,0.8328,0.99857,1,0.995,0.9701,0.27161,0.26497,0.74667,0.000416,0.000416,0.000416
82,3303.94,0.30412,0.30662,0.83295,0.99857,1,0.995,0.97147,0.22659,0.24185,0.74026,0.0003962,0.0003962,0.0003962
83,3343.64,0.28974,0.29293,0.85971,0.99857,1,0.995,0.96822,0.23078,0.23628,0.73728,0.0003764,0.0003764,0.0003764
84,3383.53,0.3033,0.29713,0.84445,0.99859,1,0.995,0.97954,0.19549,0.24265,0.73508,0.0003566,0.0003566,0.0003566
85,3423.58,0.27653,0.29756,0.82364,0.99856,1,0.995,0.97936,0.19965,0.22531,0.7338,0.0003368,0.0003368,0.0003368
86,3463.28,0.28182,0.28418,0.84648,0.99849,1,0.995,0.97793,0.203,0.21523,0.73439,0.000317,0.000317,0.000317
87,3503.5,0.29173,0.29562,0.84361,0.99846,1,0.995,0.97288,0.21178,0.21347,0.73493,0.0002972,0.0002972,0.0002972
88,3543.43,0.28773,0.28883,0.85575,0.99842,1,0.995,0.97968,0.20349,0.21402,0.73273,0.0002774,0.0002774,0.0002774
89,3583.05,0.28252,0.28897,0.84287,0.99839,1,0.995,0.97904,0.19563,0.20688,0.73098,0.0002576,0.0002576,0.0002576
90,3624.08,0.26934,0.29417,0.83755,0.9984,1,0.995,0.97954,0.20652,0.20048,0.73089,0.0002378,0.0002378,0.0002378
91,3663.68,0.21594,0.25984,0.77666,0.99842,1,0.995,0.9744,0.22167,0.21214,0.73134,0.000218,0.000218,0.000218
92,3702.74,0.20555,0.24412,0.76022,0.99826,1,0.995,0.97025,0.2045,0.22123,0.73108,0.0001982,0.0001982,0.0001982
93,3742,0.19803,0.23264,0.76473,0.99824,1,0.995,0.97188,0.19346,0.21503,0.73289,0.0001784,0.0001784,0.0001784
94,3781.11,0.19639,0.23837,0.76351,0.9985,1,0.995,0.97183,0.19396,0.21426,0.73676,0.0001586,0.0001586,0.0001586
95,3820.53,0.18202,0.23073,0.76344,0.99811,1,0.995,0.97635,0.19458,0.23214,0.73943,0.0001388,0.0001388,0.0001388
96,3860.1,0.17901,0.22526,0.76422,0.99812,1,0.995,0.97636,0.1942,0.25158,0.73859,0.000119,0.000119,0.000119
97,3899.73,0.18738,0.21856,0.76149,0.99814,1,0.995,0.97638,0.18756,0.24292,0.73891,9.92e-05,9.92e-05,9.92e-05
98,3939.25,0.18153,0.22444,0.76939,0.99839,1,0.995,0.97816,0.17751,0.23307,0.73749,7.94e-05,7.94e-05,7.94e-05
99,3979.13,0.16635,0.21134,0.7733,0.99838,1,0.995,0.97895,0.17923,0.22204,0.7368,5.96e-05,5.96e-05,5.96e-05
100,4018.68,0.18021,0.22042,0.78577,0.99837,1,0.995,0.97935,0.18769,0.21721,0.737,3.98e-05,3.98e-05,3.98e-05
